timestamp_real,timestamp_sim,agent_jid,agent_type,product,change_type,quantity,stock_before,stock_after
2025-11-19 23:46:10.589,0,warehousee1_test@localhost,warehouse,B,unlock_denied,17,27,44
2025-11-19 23:46:11.688,139.55799999999996,storee2_test@localhost,store,C,delivery,4,0,4
2025-11-19 23:46:11.688,139.55799999999996,storee2_test@localhost,store,A,delivery,9,29,38
2025-11-19 23:46:11.689,139.55799999999996,storee2_test@localhost,store,C,delivery,12,4,16
2025-11-19 23:46:11.690,139.55799999999996,storee2_test@localhost,store,B,delivery,17,0,17
2025-11-19 23:46:11.691,139.55799999999996,storee2_test@localhost,store,D,delivery,18,0,18
2025-11-19 23:46:11.692,139.55799999999996,storee2_test@localhost,store,D,delivery,18,18,36
2025-11-19 23:46:11.693,139.55799999999996,storee2_test@localhost,store,A,delivery,12,38,50
2025-11-19 23:46:11.694,139.55799999999996,storee2_test@localhost,store,D,delivery,20,36,56
2025-11-19 23:46:11.695,139.55799999999996,storee2_test@localhost,store,B,delivery,13,17,30
2025-11-19 23:46:11.696,139.55799999999996,storee2_test@localhost,store,D,delivery,7,56,63
2025-11-19 23:46:11.697,139.55799999999996,storee2_test@localhost,store,B,delivery,11,30,41
2025-11-19 23:46:11.697,139.55799999999996,storee2_test@localhost,store,B,delivery,20,41,61
2025-11-19 23:46:20.587,0,warehousee1_test@localhost,warehouse,A,lock,14,44,30
2025-11-19 23:46:20.588,0,warehousee2_test@localhost,warehouse,A,lock,14,25,11
2025-11-19 23:46:20.591,0,warehousee1_test@localhost,warehouse,A,unlock_denied,14,30,44
2025-11-19 23:46:25.575,0,warehousee1_test@localhost,warehouse,B,lock,11,44,33
2025-11-19 23:46:25.576,0,warehousee2_test@localhost,warehouse,B,lock,11,54,43
2025-11-19 23:46:25.580,0,warehousee1_test@localhost,warehouse,B,unlock_denied,11,33,44
2025-11-19 23:46:30.591,0,warehousee1_test@localhost,warehouse,C,lock,18,54,36
2025-11-19 23:46:30.592,0,warehousee2_test@localhost,warehouse,C,lock,18,61,43
2025-11-19 23:46:30.592,0,warehousee1_test@localhost,warehouse,A,lock,6,44,38
2025-11-19 23:46:30.593,0,warehousee2_test@localhost,warehouse,A,lock,6,80,74
2025-11-19 23:46:30.599,0,warehousee1_test@localhost,warehouse,C,unlock_denied,18,36,54
2025-11-19 23:46:30.599,0,warehousee1_test@localhost,warehouse,A,unlock_denied,6,38,44
2025-11-19 23:46:40.589,0,warehousee1_test@localhost,warehouse,D,lock,18,20,2
2025-11-19 23:46:40.589,0,warehousee2_test@localhost,warehouse,D,lock,18,80,62
2025-11-19 23:46:40.593,0,warehousee1_test@localhost,warehouse,D,unlock_denied,18,2,20
2025-11-19 23:46:45.582,0,warehousee1_test@localhost,warehouse,D,lock,18,20,2
2025-11-19 23:46:45.583,0,warehousee2_test@localhost,warehouse,D,lock,18,62,44
2025-11-19 23:46:45.584,0,warehousee1_test@localhost,warehouse,A,lock,6,44,38
